eng_id,titulo,fnd_referenciadas,arq_referenciadas,dependencias_externas_frontmatter,clasificacion_9_3_9,canonizacion,mef_dic_id_nuevo
ENG-016,Compatibility,,ARQ-004;ARQ-006;ARQ-011;ARQ-013;ARQ-014;ARQ-016;ARQ-017,ARQ-004;ARQ-006;ARQ-011;ARQ-013;ARQ-014;ARQ-016;ARQ-017,DEPENDENCIA_EXPLICITA,NO,NO
ENG-017,Release Process,,ARQ-011;ARQ-014;ARQ-016;ARQ-017,ARQ-011;ARQ-014;ARQ-016;ARQ-017,DEPENDENCIA_EXPLICITA,NO,NO
ENG-018,Dependency Injection,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-013;ARQ-014;ARQ-016,ARQ-007;ARQ-011;ARQ-012;ARQ-014,DEPENDENCIA_EXPLICITA,NO,NO
ENG-019,Service Container,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-013;ARQ-014;ARQ-016,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-012;ARQ-014,DEPENDENCIA_EXPLICITA,NO,NO
ENG-020,Registry Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-013;ARQ-014;ARQ-016,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-014,DEPENDENCIA_EXPLICITA,NO,NO
ENG-021,Contracts Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-014;ARQ-016,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-014,DEPENDENCIA_EXPLICITA,NO,NO
ENG-022,Event Bus Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-014;ARQ-016,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-014,DEPENDENCIA_EXPLICITA,NO,NO
ENG-023,Error Handling,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-014;ARQ-016,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-014,DEPENDENCIA_EXPLICITA,NO,NO
ENG-024,Security Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-014;ARQ-016,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-014;ARQ-016,DEPENDENCIA_EXPLICITA,NO,NO
ENG-025,Observability Engineering,,ARQ-006;ARQ-007;ARQ-008;ARQ-014;ARQ-016,ARQ-006;ARQ-007;ARQ-008;ARQ-014;ARQ-016,DEPENDENCIA_EXPLICITA,NO,NO
ENG-026,Runtime Performance Engineering,,ARQ-006;ARQ-007;ARQ-008;ARQ-014,ARQ-006;ARQ-007;ARQ-008;ARQ-014,DEPENDENCIA_EXPLICITA,NO,NO
ENG-027,Runtime Engineering,,ARQ-006;ARQ-007;ARQ-008;ARQ-014;ARQ-016,ARQ-006;ARQ-007;ARQ-008;ARQ-014;ARQ-016,DEPENDENCIA_EXPLICITA,NO,NO
ENG-028,Module Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,ARQ-004;ARQ-011;ARQ-014,DEPENDENCIA_EXPLICITA,NO,NO
ENG-029,Extension Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-014;ARQ-016,ARQ-004;ARQ-011;ARQ-014,DEPENDENCIA_EXPLICITA,NO,NO
ENG-030,Persistence Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-031,Serialization Engineering,,ARQ-004;ARQ-006;ARQ-008;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-032,Transport Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-033,ENG-033-INTERFACE_ENGINEERING,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-034,Application Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-035,Domain Engineering,,ARQ-004;ARQ-006;ARQ-008;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-036,Validation Engineering,,ARQ-004;ARQ-006;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-037,Caching Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-038,Concurrency Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-039,Resilience Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-040,Scheduling & Background Jobs Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-041,Messaging Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-042,Transaction Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-043,Data Access Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-044,API Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-045,Authentication Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-046,Authorization Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-047,Identity & Access Management Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-048,Multi-Tenancy Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-049,Configuration Management Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-050,Feature Management Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-051,Policy Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-052,Workflow Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-053,State Management Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-054,Resource Management Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-055,Lifecycle Management Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-056,Context Management Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-057,Metadata Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-058,Discovery Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-059,Resolution Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-060,Extension & Plugin Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-061,Interoperability Engineering,,ARQ-004;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-062,Schema Engineering,,ARQ-004;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-063,Data Transformation Engineering,,ARQ-004;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-064,Data Pipeline Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-065,Migration Engineering,,ARQ-004;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-066,Upgrade Engineering,,ARQ-004;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-067,Deployment Engineering,,ARQ-004;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-068,Environment Engineering,,ARQ-004;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-069,Health & Readiness Engineering,,ARQ-004;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-070,Performance Engineering,,ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-071,Capacity Engineering,,ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-072,Scalability Engineering,,ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-073,Availability Engineering,,ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-074,Reliability Engineering,,ARQ-004;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-075,Maintainability Engineering,,ARQ-004;ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-076,Recoverability Engineering,,ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-077,Durability Engineering,,ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-078,Consistency Engineering,,ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-079,Data Integrity Engineering,,ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-080,Data Quality Engineering,,ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-081,Data Governance Engineering,,ARQ-011;ARQ-014;ARQ-016,,EVIDENCIA_TRANSVERSAL,NO,NO
ENG-082,Data Privacy Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-083,Data Compliance Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-084,Data Ethics Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-085,Data Trust Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-086,Data Product Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-087,Data Exchange & Sharing Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-088,Data Federation Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-089,Data Lineage & Provenance Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-090,Data Catalog Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-091,Data Discovery & Classification Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-092,Data Retention & Disposal Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-093,Data Archival & Preservation Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-094,Data Portability Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-095,Data Synchronization Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-096,Data Replication Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-097,Data Partitioning & Sharding Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-098,Data Distribution Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-099,Data Localization & Residency Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
ENG-100,Data Lifecycle Orchestration Engineering,,,,SIN_RELACION_EXPLICITA,NO,NO
