capa,fuente_id,archivo,titulo,referencias_fnd,referencias_arq,referencias_eng,elegibilidad_como_fuente,rol_en_canonizacion,sha256
ARQ,ARQ-005,ARQ-005-KERNEL.md,Kernel,,ARQ-002;ARQ-003;ARQ-004;ARQ-005;ARQ-006;ARQ-007;ARQ-008;ARQ-014,,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,a26180d0dd0227c35191f09ddee192c8de4956c7dbd11eac13bc9f58480a52b5
ARQ,ARQ-006,ARQ-006-REGISTRY.md,Registry,,ARQ-002;ARQ-004;ARQ-005;ARQ-006;ARQ-007;ARQ-008;ARQ-014,,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,ca065680f55e320b2e2496e2e3a1d1d0f991fd146cfc178da93806c085bba1ce
ARQ,ARQ-007,ARQ-007-SERVICE_CONTAINER.md,Service Container,,ARQ-002;ARQ-005;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-014,,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,c976899a82097d4629cc694c320b3265b3648aff1e2a7386f4acff6a139588a4
ARQ,ARQ-008,ARQ-008-EVENT_BUS.md,Event Bus,,ARQ-002;ARQ-004;ARQ-005;ARQ-007;ARQ-008;ARQ-014;ARQ-015,,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,eedf252e1a6c79569b8a292ad42318353a5edce7fd021fd255c20085751a40a9
ARQ,ARQ-009,ARQ-009-BUILDERS.md,Builders,,ARQ-002;ARQ-003;ARQ-007;ARQ-009;ARQ-010;ARQ-011;ARQ-012,,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,8fdfb1c7e82447b046e58aa23b8713aa7788834c3ef80076dd33d98575edf139
ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,Template Engine,,ARQ-003;ARQ-009;ARQ-010;ARQ-011;ARQ-013,,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,4ba7e513a2edaac907e08ef939936f13152aa602c3642f6cd578af303af159ae
ARQ,ARQ-011,ARQ-011-CONTRACTS.md,Contracts,,ARQ-002;ARQ-007;ARQ-009;ARQ-011;ARQ-012;ARQ-015,,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,62681d2bc7fde74fbe76281e818051eb54bb119ad7bce0f4544b5d9ceb679fc5
ARQ,ARQ-012,ARQ-012-DEPENDENCY_INJECTION.md,Dependency Injection,,ARQ-007;ARQ-009;ARQ-011;ARQ-012;ARQ-013;ARQ-014,,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,e8941d0c085a72ff74265a1bfa32f05dd95fb54a14079940b8a134aa2dd96ad2
ARQ,ARQ-013,ARQ-013-CONFIGURATION.md,Configuration,,ARQ-003;ARQ-007;ARQ-010;ARQ-012;ARQ-013;ARQ-014,,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,774ac347e90562b15867103a67c25ae5d97760d366a331e8bf2e70cd1568bfca
ARQ,ARQ-014,ARQ-014-FRAMEWORK_LIFECYCLE.md,Framework Lifecycle,,ARQ-005;ARQ-006;ARQ-007;ARQ-008;ARQ-012;ARQ-014;ARQ-015,ENG-015,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,5952559d8fc0893e4f6af30fdcc846203c8765adff27ee3ec403b1c616f58fb1
ARQ,ARQ-015,ARQ-015-EXTENSION_MODEL.md,Extension Model,FND-013,ARQ-004;ARQ-008;ARQ-011;ARQ-014;ARQ-015;ARQ-016,ENG-016,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,b454f0edb80733f7866d776dfa0ebe1b2920e7ac62a162da192f1c2afceb1576
ARQ,ARQ-016,ARQ-016-SECURITY.md,Security,FND-004;FND-013,ARQ-011;ARQ-013;ARQ-015;ARQ-016;ARQ-017,ENG-017,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,6c619fb0eb2066602df9e8d5d9598855e3f1f036d0549a87d9538f89ae1aa712
ARQ,ARQ-017,ARQ-017-PACKAGING.md,Packaging,,ARQ-004;ARQ-011;ARQ-013;ARQ-015;ARQ-016;ARQ-017,ENG-001;ENG-002,AUTORIDAD_ARQUITECTONICA_APTA_COMO_FUENTE,Puede especializar/respaldar FND; no crea término MEF-DIC por sí sola.,2a7197aa3df06101c328e37d57a4af97f48cd4d67adce677efcc706405768a83
ENG,ENG-000,ENG-000-INGENIERIA_GENERAL.md,Ingeniería General,FND-004;FND-011;FND-013,ARQ-000;ARQ-001;ARQ-004;ARQ-010;ARQ-013;ARQ-014;ARQ-015;ARQ-016;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-100,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,f7effc342bb0289be7ee51a4074200303c478a026c9650a3054ac65b5fcb1356
ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,Organización del Código,FND-013,ARQ-002;ARQ-003;ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-015,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-009,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,fc150ddc7336eaa6fb2484189e67a2258b25d3fb1869988cb32eb3ce3cdbc449
ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,Especificación de Modules,FND-004;FND-013,ARQ-004;ARQ-006;ARQ-008;ARQ-011;ARQ-013;ARQ-014;ARQ-015;ARQ-016;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-009;ENG-014,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,cebd04e0f84dce8b25dcbb8ecb3ff73fc3954b9536925aec10dbbbd841939a32
ENG,ENG-003,ENG-003-MANIFEST.md,Manifest,,ARQ-004;ARQ-006;ARQ-011;ARQ-014;ARQ-015;ARQ-016;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-013;ENG-014,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,41e1be96f4ef73f5f44479d65d730a72b2c9b5bffb8200622b6e293ee55e7530
ENG,ENG-004,ENG-004-CONVENCIONES.md,Convenciones,FND-013,ARQ-004;ARQ-008;ARQ-011;ARQ-012;ARQ-013;ARQ-015;ARQ-016;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-009;ENG-010;ENG-011;ENG-014,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,bce391b034fdfc2d732f6b92d441537b29e0968ccc8ae1f712dfee8fe78b53ba
ENG,ENG-005,ENG-005-NOMENCLATURA.md,Nomenclatura,FND-005;FND-013,ARQ-004;ARQ-006;ARQ-008;ARQ-009;ARQ-011;ARQ-013;ARQ-015;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-011;ENG-014,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,28945d9abf90db5206515126ff00c895514cdf4e2ad1d7de8e9662508cb14a96
ENG,ENG-006,ENG-006-ESTRUCTURA_DE_DIRECTORIOS.md,Estructura de Directorios,FND-013,ARQ-002;ARQ-003;ARQ-004;ARQ-015;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-011;ENG-012;ENG-013,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,2d532cc8ccac9e1964e6560335e45fbb037ab532187c38c796337c92d88d83f1
ENG,ENG-007,ENG-007-CLI.md,CLI,,ARQ-005;ARQ-006;ARQ-014;ARQ-015;ARQ-017,ENG-000;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-011;ENG-012;ENG-013;ENG-014,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,9d3211168fa53890f21c61c1d78e0cb52a81d836a10a5cabb3f6393eb70e5ed4
ENG,ENG-008,ENG-008-GENERADORES.md,Generadores,,ARQ-009;ARQ-010;ARQ-011;ARQ-015,ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-011;ENG-012;ENG-013,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,4c864fbb168595605705c0e05f81774da0a41721faf6940d9c6b8c777b7ef655
ENG,ENG-009,ENG-009-TESTING.md,Testing,,ARQ-004;ARQ-007;ARQ-008;ARQ-011;ARQ-014;ARQ-016;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-017,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,5a51ea0314726e6457ef77c60eb8b2fe4a80adb85920b6d477da4cacff752967
ENG,ENG-010,ENG-010-LOGGING.md,Logging,,ARQ-003;ARQ-008;ARQ-013;ARQ-014;ARQ-016,ENG-000;ENG-004;ENG-005;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-015,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,2bd28abc5005716f432e6dc83267a09fd5d0bbb67a5c98d66c5de7c20a3e877a
ENG,ENG-011,ENG-011-CONFIGURATION_FILES.md,Configuration Files,,ARQ-003;ARQ-006;ARQ-013;ARQ-014;ARQ-016;ARQ-017,ENG-000;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,b87b67b0b4c10b6b9b3b5ed6d4624d8b368349449d63b5f8d727a0e72e5b1e88
ENG,ENG-012,ENG-012-BUILD_SYSTEM.md,Build System,,ARQ-009;ARQ-010;ARQ-014;ARQ-016;ARQ-017,ENG-000;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-017,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,81aa8546d9c042a74e15aca7c85d53d589b1c7eb8e1cce506cbbdbf45dd8a205
ENG,ENG-013,ENG-013-PACKAGE_MANAGER.md,Package Manager,,ARQ-004;ARQ-006;ARQ-011;ARQ-013;ARQ-014;ARQ-016;ARQ-017,ENG-000;ENG-003;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-017,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,8ee7ade2e829f6dc468f8631a2e3ecbfa63ad420eafb6ae3188f38d8d5e6278d
ENG,ENG-014,ENG-014-VERSIONADO.md,Versionado,,ARQ-004;ARQ-006;ARQ-011;ARQ-013;ARQ-014;ARQ-016;ARQ-017,ENG-000;ENG-003;ENG-005;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,b548cb84e23aaf79575732be6c98ba5605489bca018686ee361d68f2c69a2418
ENG,ENG-015,ENG-015-ARCHITECTURAL_STATE_MACHINE.md,Architectural State Machine,,ARQ-004;ARQ-006;ARQ-011;ARQ-013;ARQ-014;ARQ-016;ARQ-017,ENG-000;ENG-003;ENG-007;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,6ee14e593ecde498ea508f5832789403fc7855685ffb1186e24d31eae207275e
ENG,ENG-016,ENG-016-COMPATIBILITY.md,Compatibility,,ARQ-004;ARQ-006;ARQ-011;ARQ-013;ARQ-014;ARQ-016;ARQ-017,ENG-000;ENG-003;ENG-007;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,53cd3f9a7bcf4c2cfa7a4d2505dc2f366ee560b455259b02d2da891a906ec0de
ENG,ENG-017,ENG-017-RELEASE_PROCESS.md,Release Process,,ARQ-011;ARQ-014;ARQ-016;ARQ-017,ENG-000;ENG-003;ENG-007;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,036991ba80ba0e95955f4a2fd5f35859edf17d04195124c4c279364192b2160f
ENG,ENG-018,ENG-018-DEPENDENCY_INJECTION.md,Dependency Injection,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-013;ARQ-014;ARQ-016,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-009;ENG-010;ENG-011;ENG-013;ENG-015;ENG-016;ENG-018;ENG-019;ENG-020;ENG-021;ENG-023;ENG-024;ENG-028,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,0a7d26d91bc9c50b855203f56560c67053c71a96cbf1cb6a9ef8695ca4e39b0e
ENG,ENG-019,ENG-019-SERVICE_CONTAINER.md,Service Container,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-013;ARQ-014;ARQ-016,ENG-000;ENG-002;ENG-005;ENG-006;ENG-007;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-027,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,f84744230801ec27bba78066464ac3335831091c5bbad9300d11a13eebed6189
ENG,ENG-020,ENG-020-REGISTRY_ENGINNEERING.md,Registry Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-013;ARQ-014;ARQ-016,ENG-000;ENG-002;ENG-003;ENG-005;ENG-006;ENG-007;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-027,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,7b5d832b4476095795e9e0b309e1b36fae47ed69d0e0178fe154a4ffd98cd5bf
ENG,ENG-021,ENG-021-CONTRACTS_ENGINNEERING.md,Contracts Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-014;ARQ-016,ENG-000;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-009;ENG-010;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-027,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,b9fc8508c759ca5a5cf34dfdbed860afdc833154122fc5180910209cf9ad75c1
ENG,ENG-022,ENG-022-EVENT_BUS_ENGINNEERING.md,Event Bus Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-014;ARQ-016,ENG-000;ENG-002;ENG-003;ENG-004;ENG-005;ENG-007;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,17cbc3246deadb7dbf20441fb41ed64f0e1260eb6b2941237f91383efa3a2b6d
ENG,ENG-023,ENG-023-ERROR_HANDLING.md,Error Handling,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-014;ARQ-016,ENG-000;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-009;ENG-010;ENG-011;ENG-012;ENG-014;ENG-015;ENG-016;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,bde26d317429b971d06c77333f51a23659aeafdeae0ad6b9ec603cbfaee06d20
ENG,ENG-024,ENG-024-SECURITY_ENGINEERING.md,Security Engineering,,ARQ-004;ARQ-006;ARQ-007;ARQ-008;ARQ-011;ARQ-012;ARQ-014;ARQ-016,ENG-000;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,d3b9e978dc70b06f4bc755e9ddbd58bec258b453b4d15e1bfcc54380ca76ddb5
ENG,ENG-025,ENG-025-OBSERVABILITY_ENGINEERING.md,Observability Engineering,,ARQ-006;ARQ-007;ARQ-008;ARQ-014;ARQ-016,ENG-000;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-009;ENG-010;ENG-011;ENG-012;ENG-014;ENG-015;ENG-016;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027,EVIDENCIA_ENG_APTA_PARA_CONTRASTE,Fuente subordinada de ingeniería; no puede canonizar por sí sola.,885af02d47de3b6e49ca9c0106387e794c7421a7b0f6b86f1a2c31b891f51d1a
