"Decision","Subtipo","Motivo","Archivo","Bytes"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORÍA_FASE_9_3_12_CIERRE_TRANSVERSAL_FND→ARQ→ENG.md","6451"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORÍA_FASE_9_3_12_CIERRE_TRANSVERSALl.csv","1167"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_3_2_ESQUEMA_CANDIDATOS.md","3741"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_3_3_EXTRACCION_CONTROLADA_FND.md","4063"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_3_4_REVISION_CANDIDATOS_FND.md","4768"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_3_5_VALIDACION_SEMANTICA_FND.md","7030"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_3_6_EXTRACCION_CONTROLADA_ARQ.md","35573"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_3_7_DEPURACION_VALIDACION_SEMANTICA_ARQ.md","14123"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_3_8_CONSILIDACION_FND_+_ARQ_Y_PREPARACION_EXTRACCION_ENG.md","6627"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_3_9_ENG_CROSSWALK.csv","11312"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_3_9_EXTRACCIÓN_ENG_Y_CONTRASTE_ TRANSVERSAL_CONTRA_BASELINE FND+ARQ.md","7284"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_4_1_ELEGIBILIDAD_CANDIDATOS_MEF-DIC.csv","5124"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_4_1_INVENTARIO_CONSOLIDADO_FUENTES.csv","72145"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_4_1_INVENTARIO_CONSOLIDADO_Y_ELEGIBILIDAD_CANONIZACION_MEF-DIC_FINAL.md","4778"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_4_1_INVENTARIO_CONSOLIDADO_Y_ELEGIBILIDAD_PARA_CANONIZACION_MEF-DIC.md","5353"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_4_2_DECISION_CANONICA_DE_CANDIDATOS_MEF-DIC.csv","2266"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\AUDITORIA\AUDITORIA_FASE_9_4_2_DECISION_CANONICA_DE_CANDIDATOS_MEF-DIC.md","5254"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\CATALOGO\ARQ_SIN_EVIDENCIA_PATRONES.txt","7085"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\CATALOGO\CANDIDATOS_ARQ.csv","3371"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\CATALOGO\CANDIDATOS_ARQ_SIN_CUERPO.csv","1785"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\CATALOGO\CANDIDATOS_FND.csv","8998"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\CATALOGO\COBERTURA_TRANSVERSAL_ARQ_SIN_CUERPO.csv","363"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\CATALOGO\EVIDENCIA_CONCEPTOS_FND.txt","45503"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\CATALOGO\EVIDENCIA_SEMANTICA_ARQ.txt","22819"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\CATALOGO\EVIDENCIA_TRANSVERSAL_ARQ_SIN_CUERPO.txt","81666"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\CATALOGO\REVISION_CANDIDATOS_ARQ.csv","4006"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\CATALOGO\REVISION_CANDIDATOS_FND.csv","8291"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\FUENTES\FUENTES_CANONICAS.csv","16806"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V2\README.md","1052"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.1_CONTROLES_INTEGRIDAD_FUENTES_V3_FINAL.csv","182"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.1_INVENTARIO_FUENTE_LIMPIO_FINAL.md","2383"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.1_MANIFEST_FUENTES_V3_FINAL.csv","24305"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.2_CANDIDATOS_BRUTOS_V3.csv","5307311"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.2_COBERTURA_EXTRACCION_V3.csv","16340"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.2_EXTRACCION_TERMINOLOGICA_COMPLETA.md","3835"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.3_CANDIDATOS_NORMALIZADOS_V3.csv","2320242"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.3_CANDIDATOS_PARA_RESOLUCION_AUTORIDAD_V3.csv","233236"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.3_NORMALIZACION_Y_DEDUPLICACION.md","3512"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.3_RUIDO_DESCARTADO_V3.csv","132419"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.3_VARIANTES_Y_ALIASES_PROVISIONALES_V3.csv","32937"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.4_CANDIDATOS_AUTORIDAD_INSUFICIENTE_V3.csv","304"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.4_CANDIDATOS_HABILITADOS_CATALOGO_V3.csv","431816"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.4_MATRIZ_AUTORIDAD_V3.csv","431816"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.4_RESOLUCION_DE_AUTORIDAD.md","2801"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.5_CATALOGO_CANONICO_V3_PRE_ID.csv","82462"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.5_CONSTRUCCION_DEL_CATALOGO_CANONICO.md","3610"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.5_DECISIONES_CATALOGO_V3.csv","666545"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.5_DIFERIDOS_ENG_ONLY_V3.csv","584478"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.5_RECHAZADOS_V3.csv","395"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.6_IDENTIDADES_LEGACY_0001_0070.csv","8649"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.6_MANIFEST_CIERRE_V3_FINAL.csv","525"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_10.6_MAPEO_LEGACY_A_V3.csv","19510"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.1_COBERTURA_POR_FUENTE.csv","16334"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.1_CONTROLES_INTEGRIDAD.csv","238"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.2_CONTROLES_INTEGRIDAD.csv","199"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.2_NO_CONFORMIDADES_TERMINOLOGICAS.csv","1610366"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.2_RESUMEN_NO_CONFORMIDADES_POR_CONCEPTO.csv","11428"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.3_CONTROLES_INTEGRIDAD.csv","264"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.3_ENG_ONLY_MANTENIDOS_DIFERIDOS.csv","167319"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.3_RESUMEN_ALIASES_POR_CONCEPTO.csv","11695"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.4_CONTROLES_INTEGRIDAD.csv","297"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.4_TRAZABILIDAD_CONCEPTO_A_FUENTES.csv","32814"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.4_TRAZABILIDAD_FUENTE_A_CONCEPTOS.csv","48836"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.4_VALIDACION_VINCULACION_ALIASES.csv","574"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.5_CONTROLES_INTEGRIDAD.csv","421"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.5_HALLAZGOS_TRANSVERSALES.csv","34743"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.5_VALIDACION_JERARQUIA_VINCULOS.csv","577096"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.6_CONTROLES_CIERRE_INTEGRACION_NORMATIVA.csv","695"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.6_CONTROLES_CONSOLIDADOS_11_1_A_11_5.csv","1483"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11.6_MANIFEST_ARTEFACTOS_FASE_11.csv","2988"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11_2_DETECCION_DE_NO_CONFORMIDADES_TERMINOLOGICAS.md","2308"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11_3_RESOLUCION_DE_ALIASES_Y_DENOMINACIONES_HISTORICAS.md","2145"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\DICCIONARIO\V3\FASE_11_5_VALIDACION_TRANSVERSAL_FND_ARQ_ENG.md","2180"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\RECONSTRUCCION\S1.4.1.1_INTEGRIDAD_ESTRUCTURAL_ERP_CORE.md","6389"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\RECONSTRUCCION\S1.4.1.2_NORMALIZACION_ESTRUCTURAL_ERP_CORE.md","12583"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\RECONSTRUCCION\S1.4.1.3_NORMALIZACION_SUITE_DE_PRUEBAS.md","11328"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\RECONSTRUCCION\S1.4.1.4_VALIDACION_BASELINE_FUNCIONAL.md","12765"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\RECONSTRUCCION\S1.4.1_BASELINE_FUNCIONAL_E_INTEGRIDAD_ARQUITECTONICA.md","18319"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\RECONSTRUCCION\S1.4.2.1_AUDITORIA_MODELO_IDENTIDAD_ROLES_AUTORIZACION.md","11270"
"ARCHIVE","ARCHIVE","Antecedente histórico o arquitectura sustituida","docs\RECONSTRUCCION\S1.4.2.2_DISENO_MODELO_OBJETIVO_IDENTIDAD_ROLES_AUTORIZACION.md","17786"
"ARCHIVE","ARCHIVE","Evidencia de procesos históricos","docs\SANEAMIENTO\README.md","2079"
"ARCHIVE","ARCHIVE","Evidencia de procesos históricos","docs\SANEAMIENTO\S1.3.1_SANEAMIENTO_REPOSITORIO.md","8465"
"ARCHIVE","ARCHIVE","Evidencia de procesos históricos","docs\SANEAMIENTO\S1.3.10_VALIDACION_INTEGRAL_Y_CIERRE_TECNICO.md","9154"
"ARCHIVE","ARCHIVE","Evidencia de procesos históricos","docs\SANEAMIENTO\S1.3.2_DECISIONES_ARQUITECTONICAS.md","6987"
"ARCHIVE","ARCHIVE","Evidencia de procesos históricos","docs\SANEAMIENTO\S1.3.3_SANEAMIENTO_DE_SEEDERS.md","7772"
"ARCHIVE","ARCHIVE","Evidencia de procesos históricos","docs\SANEAMIENTO\S1.3.4_RECONSTRUCCION_IDENTIDAD_Y_ACCESO.md","7610"
"ARCHIVE","ARCHIVE","Evidencia de procesos históricos","docs\SANEAMIENTO\S1.3.5_SANEAMIENTO_MIDDLEWARE_Y_BOOTSTRAP_LARAVEL_12.md","4262"
"ARCHIVE","ARCHIVE","Evidencia de procesos históricos","docs\SANEAMIENTO\S1.3.6_SANEAMIENTO_CONTROLADORES_REQUESTS_Y_RESPUESTAS.md","8936"
"ARCHIVE","ARCHIVE","Evidencia de procesos históricos","docs\SANEAMIENTO\S1.3.7_SANEAMIENTO_VISTAS_LAYOUTS_DASHBOARDS_Y_SIDEBARS.md","8227"
"ARCHIVE","ARCHIVE","Evidencia histórica del saneamiento","docs\SANEAMIENTO\S1.3.8.1_SANEAMIENTO_RUTAS_WEB_Y_NAVEGACION_BASE.md","8195"
"ARCHIVE","ARCHIVE","Evidencia histórica del saneamiento","docs\SANEAMIENTO\S1.3.8.2_COHERENCIA_RUTAS_APPLAYOUT_NAVEGACION_Y_PERFIL.md","10115"
"ARCHIVE","ARCHIVE","Evidencia histórica / auditoría cerrada","docs\SANEAMIENTO\S1.3.9.1_AUDITORIA_ARQUITECTURA_CORE_ERP_MODULES.md","3120"
"ARCHIVE","ARCHIVE","Evidencia de procesos históricos","docs\SANEAMIENTO\S1.3.9.2_SANEAMIENTO_AUTORIZACION_HEREDADA.md","2674"
"ARCHIVE","ARCHIVE","Evidencia de procesos históricos","docs\SANEAMIENTO\S1.3.9.3_SANEAMIENTO_DEPENDENCIAS_FRONTEND_Y_ADMINLTE.md","4067"
"ARCHIVE","ARCHIVE","Evidencia histórica del saneamiento","docs\SANEAMIENTO\S1.3.9.4_CONSOLIDACION_BOOTSTRAP_TAILWIND_Y_ASSETS_AUTENTICACION.md","7710"
"ARCHIVE","ARCHIVE","Evidencia de procesos históricos","docs\SANEAMIENTO\S1.3.9_INVENTARIO_FINAL_DE_RESIDUOS_ESTRUCTURALES.md","4055"
"ARCHIVE","ARCHIVE","Evidencia de procesos históricos","docs\SANEAMIENTO\S1.3_SANEAMIENTO_INTEGRAL_DEL_REPOSITORIO.md","7857"
"KEEP","KEEP","Infraestructura base del repositorio",".editorconfig","258"
"KEEP","KEEP","Infraestructura base del repositorio",".env.example","1084"
"KEEP","KEEP","Infraestructura base del repositorio",".gitattributes","186"
"KEEP","KEEP","Instrucciones de apoyo al desarrollo; revisar contenido durante reconstrucción",".github\copilot-instructions.md","4260"
"KEEP","KEEP","Infraestructura base del repositorio",".gitignore","300"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Console\Commands\ERPMakeModuleCommand.php","1863"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Console\Commands\ERPStatusCommand.php","1887"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Builders\ModuleBuilder.php","7333"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Contracts\ERPKernelContract.php","353"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Contracts\FileWriterContract.php","330"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Contracts\GitKeepGeneratorContract.php","392"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Contracts\JsonWriterContract.php","284"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Contracts\ModuleBuilderContract.php","345"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Contracts\StubWriterContract.php","343"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Contracts\ValueObject.php","429"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Exceptions\InvalidModuleManifestException.php","171"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\FileSystem\DirectoryManager.php","2073"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\FileSystem\FileWriter.php","1891"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\FileSystem\GitKeepGenerator.php","1588"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\FileSystem\JsonWriter.php","1173"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\FileSystem\StubWriter.php","916"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Kernel\ERPKernel.php","4842"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Providers\ERPServiceProvider.php","2808"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Template\TemplateEngine.php","3036"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Templates\module\api-routes.stub","429"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Templates\module\readme.stub","295"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Templates\module\service-provider.stub","731"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\Templates\module\web-routes.stub","429"
"KEEP","KEEP","Arquitectura técnica reutilizable","app\Core\ValueObjects\ModuleId.php","1768"
