mef_v3_id,termino_canonico,autoridad_10_4,fuentes_vinculadas,fnd_fuentes,arq_fuentes,eng_fuentes,estado_vinculacion
MEF-V3-DIC-0084,cómo,AUTORIDAD_ARQ,110,FND-000;FND-001;FND-002,ARQ-004;ARQ-010;ARQ-011;ARQ-012;ARQ-013;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027;ENG-028;ENG-029;ENG-030;ENG-031;ENG-032;ENG-033;ENG-034;ENG-035;ENG-036;ENG-037;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-058;ENG-059;ENG-060;ENG-061;ENG-062;ENG-063;ENG-064;ENG-065;ENG-066;ENG-067;ENG-068;ENG-069;ENG-070;ENG-071;ENG-072;ENG-073;ENG-074;ENG-075;ENG-076;ENG-077;ENG-078;ENG-079;ENG-080;ENG-081;ENG-082;ENG-083;ENG-084;ENG-085;ENG-086;ENG-087;ENG-088;ENG-089;ENG-090;ENG-091;ENG-092;ENG-093;ENG-094;ENG-095;ENG-096;ENG-097;ENG-098;ENG-099;ENG-100,VINCULADO
MEF-V3-DIC-0085,cómo resolverlo,AUTORIDAD_ARQ,1,,ARQ-012,,VINCULADO
MEF-V3-DIC-0086,Datos y persistencia,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0087,Definición de Module,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0088,Dependencias circulares,AUTORIDAD_ARQ,8,,ARQ-004,ENG-001;ENG-002;ENG-004;ENG-011;ENG-018;ENG-026;ENG-051,VINCULADO
MEF-V3-DIC-0089,Dependencias entre Modules,AUTORIDAD_ARQ,2,,ARQ-004,ENG-002,VINCULADO
MEF-V3-DIC-0090,Dependencias permitidas,AUTORIDAD_ARQ,2,,ARQ-004,ENG-001,VINCULADO
MEF-V3-DIC-0091,Dependencias prohibidas,AUTORIDAD_ARQ,4,,ARQ-004,ENG-001;ENG-012;ENG-018,VINCULADO
MEF-V3-DIC-0092,Dependency Injection,AUTORIDAD_ARQ,46,,ARQ-007;ARQ-011;ARQ-012;ARQ-013,ENG-004;ENG-005;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027;ENG-028;ENG-029;ENG-030;ENG-034;ENG-035;ENG-036;ENG-037;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-058;ENG-059;ENG-060;ENG-075,VINCULADO
MEF-V3-DIC-0093,Dependency Injection (DI),AUTORIDAD_ARQ,2,,ARQ-012,ENG-018,VINCULADO
MEF-V3-DIC-0094,DI-001,AUTORIDAD_ARQ,3,,ARQ-012,ENG-018;ENG-023,VINCULADO
MEF-V3-DIC-0095,DI-002,AUTORIDAD_ARQ,2,,ARQ-012,ENG-018,VINCULADO
MEF-V3-DIC-0096,DI-003,AUTORIDAD_ARQ,2,,ARQ-012,ENG-018,VINCULADO
MEF-V3-DIC-0097,DI-004,AUTORIDAD_ARQ,2,,ARQ-012,ENG-018,VINCULADO
MEF-V3-DIC-0098,Dirección de dependencias,AUTORIDAD_ARQ,5,,ARQ-004,ENG-000;ENG-001;ENG-006;ENG-035,VINCULADO
MEF-V3-DIC-0099,Duplicación transversal,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0100,El Package,AUTORIDAD_ARQ,12,,ARQ-017,ENG-002;ENG-003;ENG-008;ENG-013;ENG-015;ENG-019;ENG-020;ENG-024;ENG-028;ENG-036;ENG-094,VINCULADO
MEF-V3-DIC-0101,El Packaging,AUTORIDAD_ARQ,2,,ARQ-017,ENG-003,VINCULADO
MEF-V3-DIC-0102,El paquete,AUTORIDAD_ARQ,1,,ARQ-017,,VINCULADO
MEF-V3-DIC-0103,El Template Engine,AUTORIDAD_ARQ,4,,ARQ-010,ENG-005;ENG-006;ENG-008,VINCULADO
MEF-V3-DIC-0104,Esta estructura,AUTORIDAD_ARQ,3,,ARQ-004,ENG-002;ENG-006,VINCULADO
MEF-V3-DIC-0105,Estrategias,AUTORIDAD_ARQ,12,,ARQ-004;ARQ-012;ARQ-013,ENG-000;ENG-018;ENG-030;ENG-031;ENG-039;ENG-048;ENG-070;ENG-076;ENG-097,VINCULADO
MEF-V3-DIC-0106,Evolución,AUTORIDAD_ARQ,34,FND-000;FND-001;FND-002,ARQ-004;ARQ-011;ARQ-012;ARQ-013,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-009;ENG-014;ENG-016;ENG-017;ENG-021;ENG-022;ENG-028;ENG-030;ENG-031;ENG-033;ENG-035;ENG-044;ENG-045;ENG-053;ENG-057;ENG-061;ENG-062;ENG-075;ENG-079;ENG-082,VINCULADO
MEF-V3-DIC-0107,Filosofía,AUTORIDAD_ARQ,9,FND-009,ARQ-010;ARQ-011;ARQ-012;ARQ-013;ARQ-017,ENG-007;ENG-008;ENG-012,VINCULADO
MEF-V3-DIC-0108,Flujo de Generación,AUTORIDAD_ARQ,1,,ARQ-010,,VINCULADO
MEF-V3-DIC-0109,ID,AUTORIDAD_ARQ,134,FND-000;FND-001;FND-002;FND-003;FND-004;FND-005;FND-006;FND-007;FND-008;FND-009;FND-010;FND-011;FND-012;FND-013;FND-014,ARQ-000;ARQ-001;ARQ-002;ARQ-003;ARQ-004;ARQ-005;ARQ-006;ARQ-007;ARQ-008;ARQ-009;ARQ-010;ARQ-011;ARQ-012;ARQ-013;ARQ-014;ARQ-015;ARQ-016;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027;ENG-028;ENG-029;ENG-030;ENG-031;ENG-032;ENG-033;ENG-034;ENG-035;ENG-036;ENG-037;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-058;ENG-059;ENG-060;ENG-061;ENG-062;ENG-063;ENG-064;ENG-065;ENG-066;ENG-067;ENG-068;ENG-069;ENG-070;ENG-071;ENG-072;ENG-073;ENG-074;ENG-075;ENG-076;ENG-077;ENG-078;ENG-079;ENG-080;ENG-081;ENG-082;ENG-083;ENG-084;ENG-085;ENG-086;ENG-087;ENG-088;ENG-089;ENG-090;ENG-091;ENG-092;ENG-093;ENG-094;ENG-095;ENG-096;ENG-097;ENG-098;ENG-099;ENG-100,VINCULADO
MEF-V3-DIC-0110,Implementación interna,AUTORIDAD_ARQ,5,,ARQ-004,ENG-001;ENG-002;ENG-025;ENG-033,VINCULADO
MEF-V3-DIC-0111,Instalación,AUTORIDAD_ARQ,16,,ARQ-004;ARQ-017,ENG-002;ENG-003;ENG-004;ENG-006;ENG-007;ENG-008;ENG-011;ENG-012;ENG-013;ENG-016;ENG-017;ENG-024;ENG-066;ENG-067,VINCULADO
MEF-V3-DIC-0112,Instalación y desinstalación,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0113,Integridad,AUTORIDAD_ARQ,23,,ARQ-004;ARQ-017,ENG-000;ENG-002;ENG-003;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-017;ENG-020;ENG-023;ENG-024;ENG-027;ENG-030;ENG-036;ENG-064;ENG-077;ENG-087,VINCULADO
MEF-V3-DIC-0114,Invariantes Arquitectónicos,AUTORIDAD_ARQ,10,,ARQ-004;ARQ-010;ARQ-011;ARQ-012;ARQ-013;ARQ-017,ENG-000;ENG-008;ENG-009;ENG-027,VINCULADO
MEF-V3-DIC-0115,Inventory,AUTORIDAD_ARQ,17,,ARQ-004,ENG-002;ENG-005;ENG-006;ENG-022;ENG-025;ENG-028;ENG-037;ENG-039;ENG-052;ENG-073;ENG-078;ENG-079;ENG-080;ENG-081;ENG-082;ENG-093,VINCULADO
MEF-V3-DIC-0116,Jerarquía,AUTORIDAD_ARQ,8,,ARQ-013,ENG-005;ENG-019;ENG-023;ENG-038;ENG-039;ENG-046;ENG-053,VINCULADO
MEF-V3-DIC-0117,La Configuration,AUTORIDAD_ARQ,8,,ARQ-013,ENG-011;ENG-012;ENG-015;ENG-016;ENG-018;ENG-019;ENG-024,VINCULADO
MEF-V3-DIC-0118,La Dependency Injection,AUTORIDAD_ARQ,2,,ARQ-012;ARQ-013,,VINCULADO
MEF-V3-DIC-0119,Manifest,AUTORIDAD_ARQ,47,,ARQ-004;ARQ-010;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027;ENG-028;ENG-029;ENG-030;ENG-031;ENG-034;ENG-036;ENG-048;ENG-057;ENG-058;ENG-059;ENG-060;ENG-061;ENG-066;ENG-067;ENG-087;ENG-093;ENG-094,VINCULADO
MEF-V3-DIC-0120,Modelo Arquitectónico,AUTORIDAD_ARQ,6,,ARQ-011;ARQ-012;ARQ-013;ARQ-017,ENG-002;ENG-011,VINCULADO
MEF-V3-DIC-0121,Modelo de Generación,AUTORIDAD_ARQ,1,,ARQ-010,,VINCULADO
MEF-V3-DIC-0122,Module,AUTORIDAD_ARQ,73,,ARQ-004;ARQ-013;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027;ENG-028;ENG-029;ENG-030;ENG-031;ENG-032;ENG-033;ENG-034;ENG-035;ENG-036;ENG-037;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-058;ENG-059;ENG-060;ENG-062;ENG-064;ENG-065;ENG-066;ENG-067;ENG-068;ENG-069;ENG-074;ENG-075,VINCULADO
MEF-V3-DIC-0123,Module monolítico,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
MEF-V3-DIC-0124,Modules,AUTORIDAD_ARQ,76,FND-001,ARQ-004;ARQ-010;ARQ-011;ARQ-013;ARQ-015;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-013;ENG-014;ENG-015;ENG-016;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027;ENG-028;ENG-029;ENG-030;ENG-031;ENG-032;ENG-033;ENG-034;ENG-035;ENG-036;ENG-037;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-058;ENG-059;ENG-060;ENG-061;ENG-062;ENG-063;ENG-065;ENG-066;ENG-067;ENG-068;ENG-069;ENG-074;ENG-075,VINCULADO
MEF-V3-DIC-0125,Modules de dominio,AUTORIDAD_ARQ,2,,ARQ-004,ENG-005,VINCULADO
MEF-V3-DIC-0126,Modules de integración,AUTORIDAD_ARQ,1,,ARQ-004,,VINCULADO
