termino_eng_only,decision_11_3,estado_11_3,mef_v3_id,justificacion
Backpressure Test,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Backup,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Backward Compatibility,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Baggage,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Baseline Conditions,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Batch Size,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Behavioral Compatibility,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Benchmark,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Binding,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Blast Radius,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Bootstrap,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Bootstrap Events,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Bootstrap Failure,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Bootstrap Flow,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Boundary Ownership,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Boundary Validation,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Breaking Change,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Buffering,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Build Environment,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Build Gate,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Build Integration,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Build Pipeline,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Build System,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Bulkhead,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Business Rule,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Cache,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Cache Integration,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Cache Invalidation,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Cache Key,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Cache Poisoning,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Cache Stampede,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Cache Test,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
CacheStore,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Cancellation,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Cancellation Safety,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Cancellation Test,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Candidate,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Canonicalization,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Capability,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Capability Declaration,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Capability Registry,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Capability Requirement,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Capability Validation,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Capacidades,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Capacity,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Capacity Engineering,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Capacity Limit,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Capacity Planning,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Capacity Test,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Captive Dependency,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Cardinality,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Case Sensitivity,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Catalog Integration,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
category,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Causation,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Changelog,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Checkpoint,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Checksum,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
CI Integration,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Circuit Breaker,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Circular Dependency,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Cleanup Failure,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
CLI,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
CLI Integration,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Clock,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Clock Skew,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Commands,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Commit,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compare-And-Swap,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compatibility,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compatibility Gate,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compatibility Integration,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compatibility Matrix,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compatibility Requirement,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compatibility Test,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compatibility Validation,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compensation,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compensation ≠ Rollback,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Completeness,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compliance,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compliance Control,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compliance Evidence,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compliance Exception,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compliance Finding,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compliance Requirement,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
COMPLIANT,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Composition Tests,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Compression,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Conceptos Fundamentales,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Conceptual Directory Structure,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Concurrency,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Concurrency Conflict,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Concurrency Engineering,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Concurrency Integration,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Concurrency Limit,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Concurrency Test,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Confidence,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Configuration Cache,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Configuration Compatibility,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Configuration Injection,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Configuration Integration,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Configuration Lifecycle,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Configuration Management Engineering,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Configuration Namespace,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Configuration Reload,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Configuration Resolution,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Configuration Schema,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Configuration Secrets,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Configuration Source,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Configuration Validation,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Conflict,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Conflict Detection,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Conflict Resolution,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Conflict Test,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
Connection,MANTENER_DIFERIDO,FUERA_DE_RESOLUCION_ALIAS,,No existe autoridad FND/ARQ ni relación alias→V3 demostrada en 11.3.
