termino_extraido,variante_original,capa,fuente_id,archivo,linea,tipo_evidencia,contexto,estado_10_2,clave_lexica_provisional,apariciones
Datos y persistencia,Datos y persistencia,ARQ,ARQ-004,ARQ-004-MODULES.md,500,ENCABEZADO,20. Datos y persistencia,CANDIDATO_BRUTO_NO_CANONIZADO,datos y persistencia,1
Seguridad,Seguridad,ARQ,ARQ-004,ARQ-004-MODULES.md,517,ENCABEZADO,21. Seguridad,CANDIDATO_BRUTO_NO_CANONIZADO,seguridad,3
Observabilidad,Observabilidad,ARQ,ARQ-004,ARQ-004-MODULES.md,531,ENCABEZADO,22. Observabilidad,CANDIDATO_BRUTO_NO_CANONIZADO,observabilidad,9
Pruebas,Pruebas,ARQ,ARQ-004,ARQ-004-MODULES.md,548,ENCABEZADO,23. Pruebas,CANDIDATO_BRUTO_NO_CANONIZADO,pruebas,3
Invariantes arquitectónicos,Invariantes arquitectónicos,ARQ,ARQ-004,ARQ-004-MODULES.md,584,ENCABEZADO,25. Invariantes arquitectónicos,CANDIDATO_BRUTO_NO_CANONIZADO,invariantes arquitectónicos,6
ID,ID,ARQ,ARQ-004,ARQ-004-MODULES.md,586,TABLA_COLUMNA_PRINCIPAL,ID Invariante,CANDIDATO_BRUTO_NO_CANONIZADO,id,103
AI-011,AI-011,ARQ,ARQ-004,ARQ-004-MODULES.md,588,TABLA_COLUMNA_PRINCIPAL,AI-011 Un Module no modifica el Core.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-011,1
AI-012,AI-012,ARQ,ARQ-004,ARQ-004-MODULES.md,589,TABLA_COLUMNA_PRINCIPAL,AI-012 Un Module no depende de Applications.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-012,1
AI-013,AI-013,ARQ,ARQ-004,ARQ-004-MODULES.md,590,TABLA_COLUMNA_PRINCIPAL,AI-013 Los elementos internos de un Module no forman parte de su API pública.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-013,1
AI-014,AI-014,ARQ,ARQ-004,ARQ-004-MODULES.md,591,TABLA_COLUMNA_PRINCIPAL,AI-014 Las dependencias entre Modules utilizan contratos públicos.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-014,1
AI-015,AI-015,ARQ,ARQ-004,ARQ-004-MODULES.md,592,TABLA_COLUMNA_PRINCIPAL,AI-015 Las dependencias circulares entre Modules están prohibidas.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-015,1
AI-016,AI-016,ARQ,ARQ-004,ARQ-004-MODULES.md,593,TABLA_COLUMNA_PRINCIPAL,"AI-016 Todo Module declara identidad, versión y dependencias.",CANDIDATO_BRUTO_NO_CANONIZADO,ai-016,1
AI-017,AI-017,ARQ,ARQ-004,ARQ-004-MODULES.md,594,TABLA_COLUMNA_PRINCIPAL,AI-017 Cada Module controla sus propios límites funcionales y datos.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-017,1
AI-018,AI-018,ARQ,ARQ-004,ARQ-004-MODULES.md,595,TABLA_COLUMNA_PRINCIPAL,AI-018 Todo Module debe poder habilitarse o deshabilitarse de forma controlada.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-018,1
Riesgos arquitectónicos,Riesgos arquitectónicos,ARQ,ARQ-004,ARQ-004-MODULES.md,599,ENCABEZADO,26. Riesgos arquitectónicos,CANDIDATO_BRUTO_NO_CANONIZADO,riesgos arquitectónicos,6
Module monolítico,Module monolítico,ARQ,ARQ-004,ARQ-004-MODULES.md,603,ENCABEZADO,Module monolítico,CANDIDATO_BRUTO_NO_CANONIZADO,module monolítico,1
Acoplamiento oculto,Acoplamiento oculto,ARQ,ARQ-004,ARQ-004-MODULES.md,607,ENCABEZADO,Acoplamiento oculto,CANDIDATO_BRUTO_NO_CANONIZADO,acoplamiento oculto,1
Dependencias circulares,Dependencias circulares,ARQ,ARQ-004,ARQ-004-MODULES.md,611,ENCABEZADO,Dependencias circulares,CANDIDATO_BRUTO_NO_CANONIZADO,dependencias circulares,3
Duplicación transversal,Duplicación transversal,ARQ,ARQ-004,ARQ-004-MODULES.md,615,ENCABEZADO,Duplicación transversal,CANDIDATO_BRUTO_NO_CANONIZADO,duplicación transversal,1
Contaminación del Core,Contaminación del Core,ARQ,ARQ-004,ARQ-004-MODULES.md,619,ENCABEZADO,Contaminación del Core,CANDIDATO_BRUTO_NO_CANONIZADO,contaminación del core,1
API pública accidental,API pública accidental,ARQ,ARQ-004,ARQ-004-MODULES.md,623,ENCABEZADO,API pública accidental,CANDIDATO_BRUTO_NO_CANONIZADO,api pública accidental,1
Criterios de evaluación,Criterios de evaluación,ARQ,ARQ-004,ARQ-004-MODULES.md,629,ENCABEZADO,27. Criterios de evaluación,CANDIDATO_BRUTO_NO_CANONIZADO,criterios de evaluación,3
Relación con otros componentes,Relación con otros componentes,ARQ,ARQ-004,ARQ-004-MODULES.md,645,ENCABEZADO,28. Relación con otros componentes,CANDIDATO_BRUTO_NO_CANONIZADO,relación con otros componentes,6
Evolución,Evolución,ARQ,ARQ-004,ARQ-004-MODULES.md,674,ENCABEZADO,29. Evolución,CANDIDATO_BRUTO_NO_CANONIZADO,evolución,4
Principio Rector,Principio Rector,ARQ,ARQ-004,ARQ-004-MODULES.md,688,ENCABEZADO,30. Principio Rector,CANDIDATO_BRUTO_NO_CANONIZADO,principio rector,102
Modules,Modules,ARQ,ARQ-004,ARQ-004-MODULES.md,696,DEFINICION_EXPLICITA,Modules constituye el modelo oficial de extensión funcional de MEF.,CANDIDATO_BRUTO_NO_CANONIZADO,modules,4
ARQ-010,ARQ-010,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,26,ENCABEZADO,ARQ-010,CANDIDATO_BRUTO_NO_CANONIZADO,arq-010,1
Template Engine,Template Engine,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,28,ENCABEZADO,Template Engine,CANDIDATO_BRUTO_NO_CANONIZADO,template engine,4
Template Engine,Template Engine,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,38,TERMINO_DESTACADO,Definir el Template Engine como el servicio oficial de generación de artefactos de MEF (Modular Enterprise Framework) .,CANDIDATO_BRUTO_NO_CANONIZADO,template engine,4
MEF (Modular Enterprise Framework),MEF (Modular Enterprise Framework),ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,38,TERMINO_DESTACADO,Definir el Template Engine como el servicio oficial de generación de artefactos de MEF (Modular Enterprise Framework) .,CANDIDATO_BRUTO_NO_CANONIZADO,mef (modular enterprise framework),102
Su responsabilidad,Su responsabilidad,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,46,DEFINICION_EXPLICITA,Su responsabilidad es generar artefactos a partir de especificaciones.,CANDIDATO_BRUTO_NO_CANONIZADO,su responsabilidad,1
Declaración,Declaración,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,50,ENCABEZADO,2. Declaración,CANDIDATO_BRUTO_NO_CANONIZADO,declaración,107
El Template Engine,El Template Engine,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,52,DEFINICION_EXPLICITA,El Template Engine constituye el mecanismo oficial para automatizar la creación de componentes del Framework.,CANDIDATO_BRUTO_NO_CANONIZADO,el template engine,2
Template Engine,Template Engine,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,52,DEFINICION_EXPLICITA,El Template Engine constituye el mecanismo oficial para automatizar la creación de componentes del Framework.,CANDIDATO_BRUTO_NO_CANONIZADO,template engine,4
Objetivos,Objetivos,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,63,ENCABEZADO,3. Objetivos,CANDIDATO_BRUTO_NO_CANONIZADO,objetivos,28
Filosofía,Filosofía,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,76,ENCABEZADO,4. Filosofía,CANDIDATO_BRUTO_NO_CANONIZADO,filosofía,7
Modelo de Generación,Modelo de Generación,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,86,ENCABEZADO,5. Modelo de Generación,CANDIDATO_BRUTO_NO_CANONIZADO,modelo de generación,1
Artefactos Generables,Artefactos Generables,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,105,ENCABEZADO,6. Artefactos Generables,CANDIDATO_BRUTO_NO_CANONIZADO,artefactos generables,1
Componentes,Componentes,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,129,ENCABEZADO,7. Componentes,CANDIDATO_BRUTO_NO_CANONIZADO,componentes,1
Plantillas,Plantillas,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,144,ENCABEZADO,8. Plantillas,CANDIDATO_BRUTO_NO_CANONIZADO,plantillas,1
Variables,Variables,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,160,ENCABEZADO,9. Variables,CANDIDATO_BRUTO_NO_CANONIZADO,variables,2
Flujo de Generación,Flujo de Generación,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,173,ENCABEZADO,10. Flujo de Generación,CANDIDATO_BRUTO_NO_CANONIZADO,flujo de generación,1
Validación,Validación,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,195,ENCABEZADO,11. Validación,CANDIDATO_BRUTO_NO_CANONIZADO,validación,7
Invariantes Arquitectónicos,Invariantes Arquitectónicos,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,207,ENCABEZADO,12. Invariantes Arquitectónicos,CANDIDATO_BRUTO_NO_CANONIZADO,invariantes arquitectónicos,6
ID,ID,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,209,TABLA_COLUMNA_PRINCIPAL,ID Invariante,CANDIDATO_BRUTO_NO_CANONIZADO,id,103
AI-055,AI-055,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,211,TABLA_COLUMNA_PRINCIPAL,AI-055 Toda plantilla posee identidad única.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-055,1
AI-056,AI-056,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,212,TABLA_COLUMNA_PRINCIPAL,AI-056 Toda plantilla declara versión.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-056,1
AI-057,AI-057,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,213,TABLA_COLUMNA_PRINCIPAL,AI-057 Todo artefacto generado cumple las convenciones oficiales.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-057,1
AI-058 La generación,AI-058 La generación,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,214,DEFINICION_EXPLICITA,AI-058 La generación es determinista.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-058 la generación,1
AI-058,AI-058,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,214,TABLA_COLUMNA_PRINCIPAL,AI-058 La generación es determinista.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-058,1
AI-059 Las plantillas,AI-059 Las plantillas,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,215,DEFINICION_EXPLICITA,AI-059 Las plantillas son reutilizables.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-059 las plantillas,1
AI-059,AI-059,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,215,TABLA_COLUMNA_PRINCIPAL,AI-059 Las plantillas son reutilizables.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-059,1
AI-060,AI-060,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,216,TABLA_COLUMNA_PRINCIPAL,AI-060 El Template Engine no contiene lógica de negocio.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-060,1
Riesgos Arquitectónicos,Riesgos Arquitectónicos,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,220,ENCABEZADO,13. Riesgos Arquitectónicos,CANDIDATO_BRUTO_NO_CANONIZADO,riesgos arquitectónicos,6
Observabilidad,Observabilidad,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,232,ENCABEZADO,14. Observabilidad,CANDIDATO_BRUTO_NO_CANONIZADO,observabilidad,9
Relación con otros componentes,Relación con otros componentes,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,245,ENCABEZADO,15. Relación con otros componentes,CANDIDATO_BRUTO_NO_CANONIZADO,relación con otros componentes,6
Principio Rector,Principio Rector,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,266,ENCABEZADO,16. Principio Rector,CANDIDATO_BRUTO_NO_CANONIZADO,principio rector,102
El Template Engine,El Template Engine,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,274,DEFINICION_EXPLICITA,El Template Engine constituye el mecanismo oficial de generación de artefactos de MEF.,CANDIDATO_BRUTO_NO_CANONIZADO,el template engine,2
Template Engine,Template Engine,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,274,DEFINICION_EXPLICITA,El Template Engine constituye el mecanismo oficial de generación de artefactos de MEF.,CANDIDATO_BRUTO_NO_CANONIZADO,template engine,4
Su propósito,Su propósito,ARQ,ARQ-010,ARQ-010-TEMPLATE_ENGINE.md,276,DEFINICION_EXPLICITA,"Su propósito es transformar conocimiento arquitectónico en componentes consistentes, reutilizables y trazables, acelerando el desarrollo sin comprometer la calidad del Framework.",CANDIDATO_BRUTO_NO_CANONIZADO,su propósito,9
ARQ-011,ARQ-011,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,27,ENCABEZADO,ARQ-011,CANDIDATO_BRUTO_NO_CANONIZADO,arq-011,2
Contracts,Contracts,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,29,ENCABEZADO,Contracts,CANDIDATO_BRUTO_NO_CANONIZADO,contracts,8
Contracts,Contracts,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,39,TERMINO_DESTACADO,Definir los Contracts como los acuerdos arquitectónicos que regulan la colaboración entre los componentes de MEF (Modular Enterprise Framework) .,CANDIDATO_BRUTO_NO_CANONIZADO,contracts,8
MEF (Modular Enterprise Framework),MEF (Modular Enterprise Framework),ARQ,ARQ-011,ARQ-011-CONTRACTS.md,39,TERMINO_DESTACADO,Definir los Contracts como los acuerdos arquitectónicos que regulan la colaboración entre los componentes de MEF (Modular Enterprise Framework) .,CANDIDATO_BRUTO_NO_CANONIZADO,mef (modular enterprise framework),102
qué,qué,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,41,TERMINO_DESTACADO,"Un Contract especifica qué debe ofrecer un componente, sin imponer cómo debe implementarlo.",CANDIDATO_BRUTO_NO_CANONIZADO,qué,1
cómo,cómo,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,41,TERMINO_DESTACADO,"Un Contract especifica qué debe ofrecer un componente, sin imponer cómo debe implementarlo.",CANDIDATO_BRUTO_NO_CANONIZADO,cómo,1
Declaración,Declaración,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,47,ENCABEZADO,2. Declaración,CANDIDATO_BRUTO_NO_CANONIZADO,declaración,107
Objetivos,Objetivos,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,59,ENCABEZADO,3. Objetivos,CANDIDATO_BRUTO_NO_CANONIZADO,objetivos,28
Filosofía,Filosofía,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,72,ENCABEZADO,4. Filosofía,CANDIDATO_BRUTO_NO_CANONIZADO,filosofía,7
Un Contract,Un Contract,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,82,DEFINICION_EXPLICITA,Un Contract representa un acuerdo entre consumidores y proveedores.,CANDIDATO_BRUTO_NO_CANONIZADO,un contract,3
Modelo Arquitectónico,Modelo Arquitectónico,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,86,ENCABEZADO,5. Modelo Arquitectónico,CANDIDATO_BRUTO_NO_CANONIZADO,modelo arquitectónico,4
Un Contract,Un Contract,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,106,DEFINICION_EXPLICITA,Un Contract es responsable de,CANDIDATO_BRUTO_NO_CANONIZADO,un contract,3
No responsabilidades,No responsabilidades,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,116,ENCABEZADO,7. No responsabilidades,CANDIDATO_BRUTO_NO_CANONIZADO,no responsabilidades,5
Tipología Oficial,Tipología Oficial,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,128,ENCABEZADO,8. Tipología Oficial,CANDIDATO_BRUTO_NO_CANONIZADO,tipología oficial,1
ID,ID,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,130,TABLA_COLUMNA_PRINCIPAL,ID Tipo Descripción,CANDIDATO_BRUTO_NO_CANONIZADO,id,103
CT-001,CT-001,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,132,TABLA_COLUMNA_PRINCIPAL,CT-001 Service Contract Define servicios.,CANDIDATO_BRUTO_NO_CANONIZADO,ct-001,1
CT-002,CT-002,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,133,TABLA_COLUMNA_PRINCIPAL,CT-002 Repository Contract Define acceso a datos mediante abstracciones.,CANDIDATO_BRUTO_NO_CANONIZADO,ct-002,1
CT-003,CT-003,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,134,TABLA_COLUMNA_PRINCIPAL,CT-003 Event Contract Define la estructura pública de un evento.,CANDIDATO_BRUTO_NO_CANONIZADO,ct-003,1
CT-004,CT-004,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,135,TABLA_COLUMNA_PRINCIPAL,CT-004 Provider Contract Define proveedores del Framework.,CANDIDATO_BRUTO_NO_CANONIZADO,ct-004,1
CT-005,CT-005,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,136,TABLA_COLUMNA_PRINCIPAL,CT-005 Builder Contract Define procesos de construcción.,CANDIDATO_BRUTO_NO_CANONIZADO,ct-005,1
CT-006,CT-006,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,137,TABLA_COLUMNA_PRINCIPAL,CT-006 Extension Contract Define puntos oficiales de extensión.,CANDIDATO_BRUTO_NO_CANONIZADO,ct-006,1
CT-007,CT-007,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,138,TABLA_COLUMNA_PRINCIPAL,CT-007 Infrastructure Contract Define adaptadores tecnológicos.,CANDIDATO_BRUTO_NO_CANONIZADO,ct-007,1
Reglas de Diseño,Reglas de Diseño,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,144,ENCABEZADO,9. Reglas de Diseño,CANDIDATO_BRUTO_NO_CANONIZADO,reglas de diseño,1
Versionado,Versionado,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,157,ENCABEZADO,10. Versionado,CANDIDATO_BRUTO_NO_CANONIZADO,versionado,6
Compatibilidad,Compatibilidad,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,170,ENCABEZADO,11. Compatibilidad,CANDIDATO_BRUTO_NO_CANONIZADO,compatibilidad,2
Resolución,Resolución,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,183,ENCABEZADO,12. Resolución,CANDIDATO_BRUTO_NO_CANONIZADO,resolución,2
Invariantes Arquitectónicos,Invariantes Arquitectónicos,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,201,ENCABEZADO,13. Invariantes Arquitectónicos,CANDIDATO_BRUTO_NO_CANONIZADO,invariantes arquitectónicos,6
ID,ID,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,203,TABLA_COLUMNA_PRINCIPAL,ID Invariante,CANDIDATO_BRUTO_NO_CANONIZADO,id,103
AI-061,AI-061,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,205,TABLA_COLUMNA_PRINCIPAL,AI-061 Todo servicio público posee un Contract.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-061,1
AI-062,AI-062,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,206,TABLA_COLUMNA_PRINCIPAL,AI-062 Ningún componente público depende directamente de implementaciones concretas.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-062,1
AI-063,AI-063,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,207,TABLA_COLUMNA_PRINCIPAL,AI-063 Los Contracts no contienen lógica de negocio.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-063,1
AI-064 Los Contracts,AI-064 Los Contracts,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,208,DEFINICION_EXPLICITA,AI-064 Los Contracts son independientes de la tecnología utilizada.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-064 los contracts,1
AI-064,AI-064,ARQ,ARQ-011,ARQ-011-CONTRACTS.md,208,TABLA_COLUMNA_PRINCIPAL,AI-064 Los Contracts son independientes de la tecnología utilizada.,CANDIDATO_BRUTO_NO_CANONIZADO,ai-064,1
