mef_dic_id_v3,nombre_canonico_pre_id,aliases_provisionales,resolucion_autoridad_10_4,autoridad_principal,evidencia_subordinada,fundamento_10_5,estado_final_v3,catalogo_congelado
MEF-V3-DIC-0016,AI-059,,AUTORIDAD_ARQ,ARQ-010,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0017,AI-059 Las plantillas,,AUTORIDAD_ARQ,ARQ-010,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0018,AI-060,,AUTORIDAD_ARQ,ARQ-010,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0019,AI-061,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0020,AI-062,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0021,AI-063,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0022,AI-064,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0023,AI-064 Los Contracts,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0024,AI-065,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0025,AI-066,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0026,AI-066 Los Contracts,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0027,AI-067,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0028,AI-068,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0029,AI-069,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0030,AI-070,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0031,AI-071,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0032,AI-072,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0033,AI-072 Constructor Injection,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0034,AI-073,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0035,AI-074,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0036,AI-075,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0037,AI-075 Toda política,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0038,AI-076,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0039,AI-076 La configuración,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0040,AI-077,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0041,AI-078,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0042,AI-097,,AUTORIDAD_ARQ,ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0043,AI-098,,AUTORIDAD_ARQ,ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0044,AI-099,,AUTORIDAD_ARQ,ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0045,AI-100,,AUTORIDAD_ARQ,ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0046,AI-101,,AUTORIDAD_ARQ,ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0047,AI-102,,AUTORIDAD_ARQ,ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0048,AI-102 Todo Package,,AUTORIDAD_ARQ,ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0049,Anatomía conceptual,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0050,API pública,,AUTORIDAD_ARQ,ARQ-004,ENG-001;ENG-002,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0051,API pública accidental,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0052,ARQ-004,,AUTORIDAD_ARQ,ARQ-004,ENG-002,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0053,ARQ-010,,AUTORIDAD_ARQ,ARQ-010,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0054,ARQ-011,,AUTORIDAD_ARQ,ARQ-011,ENG-016,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0055,ARQ-012,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0056,ARQ-013,,AUTORIDAD_ARQ,ARQ-013,ENG-011,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0057,ARQ-017,,AUTORIDAD_ARQ,ARQ-017,ENG-002,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0058,Artefactos Generables,,AUTORIDAD_ARQ,ARQ-010,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0059,Cada paquete,,AUTORIDAD_ARQ,ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0060,Categorías de Modules,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0061,CFG-001,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0062,CFG-002,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0063,CFG-003,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0064,CFG-004,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0065,CFG-005,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0066,CFG-006,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0067,Ciclo de Vida,,AUTORIDAD_ARQ,ARQ-004;ARQ-012,ENG-002,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0068,Compatibilidad,,AUTORIDAD_ARQ,ARQ-011,ENG-000,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0069,Componentes,Component,AUTORIDAD_ARQ,ARQ-010,ENG-016,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0070,Comunicación entre Modules,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0071,Configuration,/Configuration,AUTORIDAD_ARQ,ARQ-013,ENG-002;ENG-003;ENG-006;ENG-010;ENG-011;ENG-029;ENG-032;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-051;ENG-053;ENG-056,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0072,Constructor Injection,,AUTORIDAD_ARQ,ARQ-012,ENG-018,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0073,Contaminación del Core,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0074,Contenido Mínimo,,AUTORIDAD_ARQ,ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0075,Contracts,/Contracts; Contract; Contracts/,AUTORIDAD_ARQ,ARQ-011,ENG-001;ENG-006;ENG-018;ENG-021;ENG-040;ENG-041,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0076,Criterios de Evaluación,,AUTORIDAD_ARQ,ARQ-004;ARQ-013;ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0077,CT-001,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0078,CT-002,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0079,CT-003,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0080,CT-004,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0081,CT-005,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0082,CT-006,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0083,CT-007,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0084,cómo,,AUTORIDAD_ARQ,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0085,cómo resolverlo,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0086,Datos y persistencia,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0087,Definición de Module,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0088,Dependencias circulares,dependencia circular,AUTORIDAD_ARQ,ARQ-004,ENG-001;ENG-002;ENG-004,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0089,Dependencias entre Modules,,AUTORIDAD_ARQ,ARQ-004,ENG-002,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0090,Dependencias permitidas,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0091,Dependencias prohibidas,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0092,Dependency Injection,,AUTORIDAD_ARQ,ARQ-012,ENG-018;ENG-025;ENG-038;ENG-039;ENG-040;ENG-041,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0093,Dependency Injection (DI),,AUTORIDAD_ARQ,ARQ-012,ENG-018,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0094,DI-001,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0095,DI-002,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0096,DI-003,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0097,DI-004,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0098,Dirección de dependencias,,AUTORIDAD_ARQ,ARQ-004,ENG-001,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0099,Duplicación transversal,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0100,El Package,,AUTORIDAD_ARQ,ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0101,El Packaging,,AUTORIDAD_ARQ,ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0102,El paquete,,AUTORIDAD_ARQ,ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0103,El Template Engine,,AUTORIDAD_ARQ,ARQ-010,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0104,Esta estructura,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0105,Estrategias,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0106,Evolución,,AUTORIDAD_ARQ,ARQ-004,ENG-000;ENG-002;ENG-004,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0107,Filosofía,,AUTORIDAD_ARQ,ARQ-010;ARQ-011;ARQ-012;ARQ-013;ARQ-017,ENG-007;ENG-008,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0108,Flujo de Generación,,AUTORIDAD_ARQ,ARQ-010,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0109,ID,,AUTORIDAD_ARQ,ARQ-004;ARQ-010;ARQ-011;ARQ-012;ARQ-013;ARQ-017,ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-027;ENG-028;ENG-029;ENG-030;ENG-031;ENG-032;ENG-034;ENG-035;ENG-036;ENG-037;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-061;ENG-062;ENG-063;ENG-064;ENG-065;ENG-066;ENG-067;ENG-068;ENG-069;ENG-070;ENG-071;ENG-072;ENG-073;ENG-074;ENG-075;ENG-076;ENG-077;ENG-078;ENG-079;ENG-080;ENG-081;ENG-082;ENG-083;ENG-084;ENG-085;ENG-086;ENG-087;ENG-088;ENG-089;ENG-090;ENG-091;ENG-092;ENG-093;ENG-094,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0110,Implementación interna,,AUTORIDAD_ARQ,ARQ-004,ENG-002,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0111,Instalación,,AUTORIDAD_ARQ,ARQ-017,ENG-002,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0112,Instalación y desinstalación,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0113,Integridad,,AUTORIDAD_ARQ,ARQ-017,ENG-003,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0114,Invariantes Arquitectónicos,,AUTORIDAD_ARQ,ARQ-004;ARQ-010;ARQ-011;ARQ-012;ARQ-013;ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0115,Inventory,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0116,Jerarquía,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0117,La Configuration,,AUTORIDAD_ARQ,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0118,La Dependency Injection,,AUTORIDAD_ARQ,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0119,Manifest,,AUTORIDAD_ARQ,ARQ-004;ARQ-017,ENG-002;ENG-003;ENG-005;ENG-011;ENG-020,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0120,Modelo Arquitectónico,,AUTORIDAD_ARQ,ARQ-011;ARQ-012;ARQ-013;ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0121,Modelo de Generación,,AUTORIDAD_ARQ,ARQ-010,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0122,Module,,AUTORIDAD_ARQ,ARQ-004,ENG-002;ENG-013;ENG-020;ENG-028,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0123,Module monolítico,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0124,Modules,/modules,AUTORIDAD_ARQ,ARQ-004,ENG-001;ENG-006,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0125,Modules de dominio,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0126,Modules de integración,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0127,Modules técnicos,,AUTORIDAD_ARQ,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0128,No,,AUTORIDAD_ARQ,ARQ-013;ARQ-017,ENG-000;ENG-003;ENG-007;ENG-010;ENG-011;ENG-018;ENG-019;ENG-022;ENG-028;ENG-029;ENG-035;ENG-037;ENG-044;ENG-064;ENG-073;ENG-075;ENG-076;ENG-077;ENG-078;ENG-080;ENG-085;ENG-086,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0129,No responsabilidades,,AUTORIDAD_ARQ,ARQ-004;ARQ-011;ARQ-012;ARQ-013,ENG-003,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0130,Observabilidad,,AUTORIDAD_ARQ,ARQ-004;ARQ-010;ARQ-011;ARQ-012;ARQ-013;ARQ-017,ENG-000;ENG-002;ENG-008,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
MEF-V3-DIC-0131,Package,,AUTORIDAD_ARQ,ARQ-017,ENG-002;ENG-013;ENG-014;ENG-028,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO,SI
