mef_v3_id,termino_canonico,autoridad_10_4,fnd,arq,eng,numero_capas,estado_transversal_11_5,autoridad_primaria_evidenciada,conflicto_critico,resultado_11_5
MEF-V3-DIC-0018,AI-060,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0019,AI-061,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0020,AI-062,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0021,AI-063,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0022,AI-064,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0023,AI-064 Los Contracts,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0024,AI-065,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0025,AI-066,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0026,AI-066 Los Contracts,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0027,AI-067,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0028,AI-068,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0029,AI-069,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0030,AI-070,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0031,AI-071,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0032,AI-072,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0033,AI-072 Constructor Injection,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0034,AI-073,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0035,AI-074,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0036,AI-075,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0037,AI-075 Toda política,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0038,AI-076,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0039,AI-076 La configuración,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0040,AI-077,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0041,AI-078,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0042,AI-097,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0043,AI-098,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0044,AI-099,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0045,AI-100,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0046,AI-101,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0047,AI-102,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0048,AI-102 Todo Package,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0049,Anatomía conceptual,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0050,API pública,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0051,API pública accidental,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0052,ARQ-004,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0053,ARQ-010,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0054,ARQ-011,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0055,ARQ-012,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0056,ARQ-013,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0057,ARQ-017,AUTORIDAD_ARQ,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0058,Artefactos Generables,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0059,Cada paquete,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0060,Categorías de Modules,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0061,CFG-001,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0062,CFG-002,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0063,CFG-003,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0064,CFG-004,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0065,CFG-005,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0066,CFG-006,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0067,Ciclo de Vida,AUTORIDAD_ARQ,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0068,Compatibilidad,AUTORIDAD_ARQ,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0069,Componentes,AUTORIDAD_ARQ,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0070,Comunicación entre Modules,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0071,Configuration,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0072,Constructor Injection,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0073,Contaminación del Core,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0074,Contenido Mínimo,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0075,Contracts,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0076,Criterios de Evaluación,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0077,CT-001,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0078,CT-002,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0079,CT-003,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0080,CT-004,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0081,CT-005,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0082,CT-006,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0083,CT-007,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0084,cómo,AUTORIDAD_ARQ,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0085,cómo resolverlo,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0086,Datos y persistencia,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0087,Definición de Module,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0088,Dependencias circulares,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0089,Dependencias entre Modules,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0090,Dependencias permitidas,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0091,Dependencias prohibidas,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0092,Dependency Injection,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0093,Dependency Injection (DI),AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0094,DI-001,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0095,DI-002,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0096,DI-003,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0097,DI-004,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0098,Dirección de dependencias,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0099,Duplicación transversal,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0100,El Package,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0101,El Packaging,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0102,El paquete,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0103,El Template Engine,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0104,Esta estructura,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0105,Estrategias,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0106,Evolución,AUTORIDAD_ARQ,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0107,Filosofía,AUTORIDAD_ARQ,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0108,Flujo de Generación,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0109,ID,AUTORIDAD_ARQ,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0110,Implementación interna,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0111,Instalación,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0112,Instalación y desinstalación,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0113,Integridad,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0114,Invariantes Arquitectónicos,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0115,Inventory,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0116,Jerarquía,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0117,La Configuration,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0118,La Dependency Injection,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0119,Manifest,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0120,Modelo Arquitectónico,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0121,Modelo de Generación,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0122,Module,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0123,Module monolítico,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0124,Modules,AUTORIDAD_ARQ,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0125,Modules de dominio,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0126,Modules de integración,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0127,Modules técnicos,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0128,No,AUTORIDAD_ARQ,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0129,No responsabilidades,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0130,Observabilidad,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0131,Package,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0132,Packaging,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0133,paquete,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0134,Plantillas,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0135,Políticas de Configuración,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0136,Pruebas,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0137,Puntos de extensión,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0138,qué,AUTORIDAD_ARQ,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0139,qué necesitan,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0140,Reglas de Diseño,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0141,Relación con otros componentes,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0142,Resolución,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0143,Riesgos Arquitectónicos,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0144,Sales,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0145,Seguridad,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0146,Su responsabilidad,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0147,Sustitución,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0148,Template Engine,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0149,Tipología Oficial,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0150,Tipos de Configuración,AUTORIDAD_ARQ,NO,SI,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0151,Un Contract,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0152,Un Module,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0153,Validación,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0154,Variables,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0155,Versionado,AUTORIDAD_ARQ,NO,SI,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0156,Alcance del producto,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0157,arquitectura del Framework,AUTORIDAD_FND,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0158,Aspiración,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0159,Beneficiarios,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0160,Carta del Proyecto,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0161,Compromisos,AUTORIDAD_FND,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0162,Comunidad,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0163,Conocimiento,AUTORIDAD_FND,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0164,Constituye el documento fundacional del Framework y,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0165,Criterios de cumplimiento,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0166,Criterios de éxito,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0167,Declaración,AUTORIDAD_FND,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0168,Declaración de Misión,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0169,Declaración de Visión,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0170,Ecosistema,AUTORIDAD_FND,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0171,Ecosistema documental,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0172,FND-000,AUTORIDAD_FND,SI,SI,NO,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0173,FND-001,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0174,FND-002,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0175,Gobernanza,AUTORIDAD_FND,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0176,Herramientas,AUTORIDAD_FND,SI,NO,SI,2,TRANSVERSAL_PARCIAL_2_CAPAS,SI,,PASS
MEF-V3-DIC-0177,Horizonte,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0178,Impacto esperado,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0179,Indicadores de éxito,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0180,La arquitectura del Framework,AUTORIDAD_FND,SI,SI,SI,3,TRANSVERSAL_COMPLETA,SI,,PASS
MEF-V3-DIC-0181,La Carta del Proyecto,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0182,La misión,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
MEF-V3-DIC-0183,La misión de MEF,AUTORIDAD_FND,SI,NO,NO,1,COBERTURA_LOCAL_1_CAPA,SI,,PASS
